BCB,103,1
BCB,108,0.25028544
BCB,119,0.3856
BCB,121,0.26242656000000003
BCB,124,0.5136000000000003
BCB,G4,0.375
BCB,B103,0.27807000003611126
BCL,103,0.5760527933960076
BCL,108,0.13286536622997203
BCL,119,0.08465483233299366
BCL,121,0.04714639420263322
BCL,124,0.10322108451972657
BCL,G4,0.38073031501474497
BCL,B103,0.021630127538105278
BCP,103,1
BCP,108,1
BCP,119,0.3989799446810762
BCP,121,0.23605964087135425
BCP,124,0.6559486537027998
BCP,G4,0.375
BCP,B103,0.18701124974959565
BLU,103,0.4136985600000001
BLU,108,0.18397536000000006
BLU,119,0.19361632000000004
BLU,121,0.08015712000000001
BLU,124,0.34184543999999994
BLU,G4,0.38164575999999995
BLU,B103,0.24571898832574587
BSF,103,0.9176443171728017
BSF,108,0.19148359374999993
BSF,119,0.10411165295358812
BSF,121,0.18490782512001777
BSF,124,0.10483762117452634
BSF,G4,0.37936220954826483
BSF,B103,0.03260721336269948
BTH,103,0.055513599374411346
BTH,108,0.1984416117011441
BTH,119,0.14235844327781033
BTH,121,0.17007109375000004
BTH,124,0.30523169161231345
BTH,G4,0.39208984375
BTH,B103,0.08023725413576487
CAD,103,0.8377559936174113
CAD,108,0.22020476863240812
CAD,119,0.22506487198026687
CAD,121,0.31847073648872587
CAD,124,0.21513662094681488
CAD,G4,0.3794407304370878
CAD,B103,0.32112924726159325
CAT,103,0.375
CAT,108,0.375
CAT,119,0.375
CAT,121,0.375
CAT,124,1
CAT,G4,1
CAT,B103,0.375
CCC,103,0.2088375
CCC,108,0.14190521290545863
CCC,119,0.14382724611953132
CCC,121,0.20983465870201115
CCC,124,0.16565439093487472
CCC,G4,1
CCC,B103,0.0684759751574367
CFP,103,1
CFP,108,0.375
CFP,119,1
CFP,121,0.375
CFP,124,0.375
CFP,G4,1
CFP,B103,0.375
CFR,103,0.23962734375
CFR,108,0.19120468750000005
CFR,119,0.28547109375
CFR,121,0.2675335937500001
CFR,124,0.23742109375000003
CFR,G4,0.37562734374999995
CFR,B103,0.1668100860766297
CHA,103,1
CHA,108,1
CHA,119,0.375
CHA,121,1
CHA,124,0.375
CHA,G4,1
CHA,B103,1
CHR,103,0.5136000000000003
CHR,108,0.12538978505857462
CHR,119,0.12791387379448219
CHR,121,0.11662178010114516
CHR,124,0.2097244016913891
CHR,G4,1
CHR,B103,0.042690458575962716
CKW,103,0.0897132812499999
CKW,108,0.5080087029576611
CKW,119,0.2187541173860881
CKW,121,0.2174490032570308
CKW,124,0.21858729387196177
CKW,G4,0.7294645834138891
CKW,B103,0.5948421148616321
COL,103,0.277177364333646
COL,108,0.43659019470214844
COL,119,0.1986451610808313
COL,121,0.38417157812761776
COL,124,0.4094758106684463
COL,G4,1
COL,B103,0.39673599997908
CON,103,0.3775375000000001
CON,108,0.3105375
CON,121,0.25417500000000004
CON,124,0.25417500000000004
CON,G4,0.8235374999999999
CON,B103,0.3105375
DCR,103,1
DCR,108,1
DCR,119,1
DCR,121,0.375
DCR,124,1
DCR,G4,0.375
DCR,B103,0.375
DRP,103,0.027636287670780777
DRP,108,0.21928449392218488
DRP,119,0.24667935308111222
DRP,121,0.09334799568129036
DRP,124,0.3123780435469491
DRP,G4,0.5491770834599456
DRP,B103,0.49314219160825273
ER2,103,0.3153375000000001
ER2,108,0.375
ER2,119,1
ER2,121,0.8235374999999999
ER2,124,0.375
ER2,G4,1
ER2,B103,0.375
EUT,103,0.06290440926972156
EUT,108,0.834407336470434
EUT,119,0.128587850079519
EUT,121,0.18319398405987972
EUT,124,0.18218222303007567
EUT,G4,0.39566848168316365
EUT,B103,0.025158939119685312
FCP,103,1
FCP,108,1
FCP,119,1
FCP,121,0.21610405506490976
FCP,124,0.15232593517050727
FCP,G4,1
FCP,B103,0.10292227035439507
FHM,103,0.3760244690751589
FHM,108,0.3809908110297717
FHM,119,0.6587141880439347
FHM,121,0.19586147939243567
FHM,124,0.25656660772569273
FHM,G4,0.38073031501474497
FHM,B103,0.6529084980110459
GCR,103,0.7206870356806426
GCR,108,1
GCR,119,0.3073120746836807
GCR,121,0.2919141656118058
GCR,124,0.2591402148768227
GCR,G4,0.5491770834599456
GCR,B103,0.09657488766998726
HAM,103,0.25733693194246376
HAM,108,0.30709141461387485
HAM,119,0.30709141461387485
HAM,121,0.24821985939808264
HAM,124,0.3778772015244288
HAM,G4,0.3778772015244288
HAM,B103,0.24821985939808264
HEM,103,1
HEM,108,0.34022109375000004
HEM,119,0.356941552734375
HEM,121,0.34022109375
HEM,124,0.33947724609374996
HEM,G4,0.9503384020970522
HEM,B103,0.33836549344578654
HOL,103,0.8235374999999999
HOL,108,0.42459999999999987
HOL,119,0.1990375
HOL,121,0.4609375
HOL,124,0.12813750000000002
HOL,G4,0.375
HOL,B103,0.020287500000000003
HPC,103,0.529876708984375
HPC,108,0.33240995958770314
HPC,119,0.24395414282473973
HPC,121,0.17781455515182273
HPC,124,0.2566204800000001
HPC,G4,0.529876708984375
HPC,B103,0.13667498571192008
KAN,103,1
KAN,108,0.14888853280861292
KAN,119,0.06406374742715577
KAN,121,0.11808594981698874
KAN,124,0.18609183868575277
KAN,G4,0.4559622874241997
KAN,B103,0.03361523095461644
KNX,103,0.16191072
KNX,108,0.3591049599999999
KNX,119,0.14149728000000003
KNX,121,0.3149030400000001
KNX,124,0.33053536
KNX,G4,0.8552473599999999
KNX,B103,0.6245606399999999
LAW,103,0.9360437634378885
LAW,108,0.3512181689356665
LAW,119,0.41263324872265283
LAW,121,0.20189220225666685
