Pop,108,108,108,108,108,108,108,108,108,108,108,G4,G4,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,119,119,119,119,119,119,119,119,119,119,119,119,119,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,124,124,124,124,124,124,124,124,124,124,124,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128
PET,0.30435,0,0.69565,0,0,0,0,0,0,0,0,0.85417,0.14583,0,0.02273,0.70455,0.15909,0,0,0,0,0,0,0.11364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17391,0,0.32609,0.02174,0.3913,0.08696,0,0,0,0.58696,0,0,0,0,0.02174,0,0.23913,0.06522,0.02174,0,0.06522,0,0,0,0,0,0,0,0,0.08333,0.47917,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20588,0.05882,0,0,0,0.55882,0.02941,0.11765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02941,0,0,0,0,0,0.23529,0,0,0,0,0.05882,0.20588,0.32353,0,0,0.17647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL,0.4,0,0.45,0.06667,0.03333,0.05,0,0,0,0,0,0.875,0.125,0,0.55,0.26667,0.06667,0,0,0,0,0,0,0.01667,0,0,0,0.08333,0,0,0,0,0.01667,0,0,0,0,0,0,0,0.16071,0.5,0.26786,0,0,0,0,0.07143,0,0.625,0,0,0.08929,0,0,0,0.21429,0,0.05357,0.01786,0,0,0,0,0,0,0,0,0,0,0.55357,0.33929,0.07143,0.03571,0,0,0,0,0,0,0,0,0,0,0.10714,0,0.03571,0.03571,0.08929,0,0,0.01786,0,0,0,0,0,0,0,0.07143,0,0,0,0,0,0,0,0.5,0.05357,0,0.08929,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.61667,0.08333,0,0,0,0,0,0,0,0,0,0,0,0,0.09615,0,0,0,0.03846,0.15385,0.46154,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
SHE,0.15217,0,0,0,0.84783,0,0,0,0,0,0,0.95833,0.04167,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0.675,0,0,0,0,0.025,0,0,0,0,0.05556,0,0,0.94444,0,0,0,0,0,0,0,0,0,0,0,0.35417,0,0.02083,0.10417,0.3125,0.20833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02174,0.15217,0,0,0,0,0,0.30435,0,0,0,0.17391,0,0,0,0,0,0,0,0.14583,0.54167,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STO,0.5,0,0.5,0,0,0,0,0,0,0,0,0.25,0.75,0,0.3,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.33333,0,0,0.16667,0.33333,0,0.16667,0,0,0,0,0,0.8125,0,0,0,0,0,0,0.0625,0,0,0,0.125,0,0,0,0,0,0,0.1,0,0.5,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAL,0.47917,0,0,0,0.35417,0.16667,0,0,0,0,0,0.66667,0.33333,0,0.14583,0,0.04167,0,0,0,0,0,0,0,0,0,0,0.8125,0,0,0,0,0,0,0,0,0,0.47917,0,0,0,0.47917,0.02083,0,0,0,0,0.02083,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02083,0.33333,0.14583,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83333,0,0,0,0.02083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14583,0.83333,0.02083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34783,0,0,0,0.65217,0,0,0,0,0,0,0,0,0,0,0
TER,0.14706,0,0.38235,0.10294,0,0.32353,0.04412,0,0,0,0,0.80952,0.19048,0,0,0.025,0.15,0,0,0,0,0,0,0.1,0,0,0,0.475,0.15,0.1,0,0,0,0,0,0,0,0.13158,0,0,0.10526,0,0.44737,0.10526,0,0,0,0.21053,0,0.1875,0,0,0.67188,0,0,0,0,0.10938,0.03125,0,0,0,0,0,0,0.02941,0,0.14706,0,0.41176,0.08824,0.32353,0,0,0,0,0,0,0,0,0,0,0.16667,0,0.16667,0.16667,0.02381,0,0.19048,0.11905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04762,0.11905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.275,0.025,0.275,0.275,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBF,0.47674,0,0.13953,0.03488,0,0.32558,0,0,0,0.02326,0,0.66667,0.33333,0,0.16667,0.30952,0.09524,0,0,0,0,0,0,0.04762,0,0,0.32143,0,0.03571,0,0,0,0.02381,0,0,0,0,0,0,0,0,0.13095,0.03571,0.57143,0.2381,0.02381,0,0,0,0.40476,0,0,0.02381,0,0.03571,0,0.15476,0.15476,0.19048,0.03571,0,0,0,0,0,0.025,0,0.025,0,0.4,0.225,0.275,0.05,0,0,0,0,0.05814,0.01163,0.02326,0,0,0,0.05814,0.27907,0,0,0,0.02326,0,0.05814,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10465,0.11628,0.03488,0,0.09302,0,0,0,0,0.01163,0,0,0,0.01163,0,0.11628,0,0,0,0,0.16667,0,0,0.0119,0.02381,0.59524,0.07143,0.09524,0.03571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL,0.34884,0,0.25581,0,0.03488,0.30233,0.05814,0,0,0,0,0.57447,0.42553,0,0,0.84884,0.13953,0.01163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02083,0,0,0,0.16667,0.21875,0.34375,0.0625,0.16667,0.02083,0,0,0,0.0625,0,0,0,0,0.19792,0,0.14583,0.21875,0.15625,0.13542,0.08333,0,0,0,0,0,0,0.18478,0,0.03261,0.28261,0.1413,0,0.33696,0.02174,0,0,0,0,0,0,0,0.02128,0.18085,0.02128,0.18085,0,0.04255,0,0.02128,0,0,0,0,0.01064,0.04255,0,0,0,0,0,0,0,0,0,0,0,0.11702,0.07447,0.06383,0.01064,0.11702,0,0.03191,0,0.01064,0.01064,0.01064,0,0.03191,0,0,0.12222,0,0,0,0.07778,0.06667,0.01111,0.45556,0.08889,0.05556,0.12222,0,0,0,0,0,0,0,0,0.10976,0,0,0.02439,0,0.09756,0.02439,0,0.12195,0.09756,0.15854,0.15854,0.04878,0.03659,0.09756,0,0.0122,0,0,0.0122,0,0
CAD,0.16667,0,0.41667,0,0,0.41667,0,0,0,0,0,0.43421,0.56579,0,0,0.95455,0.04545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13889,0,0.48611,0.36111,0,0.01389,0,0,0,0.45833,0.02778,0,0,0,0,0,0,0.01389,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.16667,0.31944,0.01389,0,0,0,0,0,0,0,0,0.59211,0,0.05263,0,0,0,0,0,0,0,0,0.35526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12821,0.52564,0.03846,0,0,0.30769,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.18056,0.01389,0.04167,0,0,0,0.63889,0,0,0,0,0,0,0,0
HAM,0,0,0.05319,0.5,0.44681,0,0,0,0,0,0,0.55319,0.44681,0,0,0.10638,0.44681,0.44681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44681,0,0.05319,0.5,0,0,0,0,0,0,0,0,0,0,0.44681,0,0.44681,0,0.05319,0,0.05319,0,0,0,0,0,0,0,0,0,0,0.55319,0,0.44681,0,0,0,0,0,0,0,0,0,0,0.44681,0,0,0,0,0,0.05319,0,0,0.44681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05319,0,0,0,0.44681,0,0,0,0,0,0,0.05319,0.05319,0,0.44681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44681,0,0,0,0.44681,0,0.10638,0,0,0,0,0,0,0,0
HEM,0,0,0.5,0,0,0.025,0.475,0,0,0,0,0.98718,0.01282,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,0.0125,0.5,0,0,0,0,0,0.5,0,0,0,0,0.475,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.0125,0.4875,0.0125,0.4875,0,0,0,0,0,0,0,0,0,0,0,0.48684,0,0,0,0,0.48684,0,0,0.02632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.4625,0,0.45,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48718,0,0.48718,0,0,0,0,0,0.02564,0,0,0,0,0,0
LEE,0.43478,0,0.26087,0.02174,0,0,0.28261,0,0,0,0,0.70833,0.29167,0,0,0.52083,0.47917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04348,0,0,0,0.47826,0.26087,0.08696,0.02174,0.1087,0,0,0,0,0.08333,0,0,0,0.0625,0.04167,0,0.02083,0.02083,0.14583,0.60417,0.02083,0,0,0,0,0,0,0.02174,0,0.26087,0.41304,0.21739,0,0.08696,0,0,0,0,0,0,0,0.15217,0.08696,0.1087,0,0.1087,0,0.08696,0,0.02174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06522,0,0.1087,0,0,0,0.08696,0,0,0.06522,0,0.04348,0.06522,0,0,0.125,0,0,0.08333,0,0,0.25,0.20833,0.02083,0.16667,0.125,0,0.02083,0,0,0,0,0,0,0.0625,0,0.08333,0.02083,0,0,0,0.14583,0.14583,0.29167,0,0.02083,0.0625,0.16667,0,0,0,0,0,0,0,0
MS1,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52083,0,0.33333,0,0,0.14583,0,0,0,0,0,0,0,0,0.89583,0,0,0.10417,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1087,0,0,0.3913,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
MS2,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAG,0.72414,0,0.27586,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0.51852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75926,0,0,0,0,0,0,0,0,0,0.24074,0,0,0,0,0,0,0,0.22222,0,0.03704,0,0.48148,0.25926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23214,0,0,0.53571,0.23214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21429,0.28571,0,0.28571,0.21429,0,0,0,0,0,0,0,0,0,0,0
